basename;light_lighting;light_background;light_exposure;light_color;emotion;eyes_left;eyes_right;headwear;camera;blur;low_resolution;object;filename;const_left;const_right;genome
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0010.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0010.jpg;0.21;0.24;african
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0004.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0004.jpg;0.23;0.26;african
bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0002.jpg;1;1;0;0;0;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbdcd248-4429-4248-b1b7-a308f6d8daff.mp4.0002.jpg;0.24;0.22;african
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0034.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0034.jpg;0.29;0.25;african
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0024.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0024.jpg;0.29;0.22;african
bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0011.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bbb2dd8f-8262-452c-bb95-4ded2800b538.mp4.0011.jpg;0.27;0.23;african
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0042.jpg;2;2;0;0;0;0;0;2;0;5;1;0;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0042.jpg;0.2;0.25;african
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0032.jpg;1;2;-1;0;-1;0;0;2;0;5;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0032.jpg;0.17;0.15;african
baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0022.jpg;2;2;0;0;0;-6;-6;2;0;5;1;0;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/baf1784e-3c79-4347-a2d2-df0bf891b222.mp4.0022.jpg;0.14;0.16;asian
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0015.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0015.jpg;0.27;0.27;african
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0004.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0004.jpg;0.25;0.27;asian
bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0003.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae536f9-4f64-42d5-8ecf-106cf02c1958.mp4.0003.jpg;0.24;0.25;european
bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0036.jpg;1;2;0;0;0;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0036.jpg;0.2;0.18;african
bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0015.jpg;2;1;0;0;0;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0015.jpg;0.24;0.19;african
bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0008.jpg;1;2;0;0;0;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/bae1e7c9-430a-4fee-ae22-e51be37429d5.mp4.0008.jpg;0.23;0.19;african
ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0010.jpg;1;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0010.jpg;0.23;0.19;asian
ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0004.jpg;1;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0004.jpg;0.23;0.21;asian
ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0002.jpg;1;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba5c4696-0eca-4394-b6f6-218788a9e91b.mp4.0002.jpg;0.21;0.2;african
ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0030.jpg;0;0;0;0;0;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0030.jpg;0.24;0.23;asian
ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0014.jpg;0;0;0;0;4;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0014.jpg;0.26;0.22;asian
ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0001.jpg;0;0;0;0;4;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba3fa1d7-3692-4c71-976a-3aee649accd5.quicktime.0001.jpg;0.21;0.23;asian
ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0029.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0029.jpg;0.29;0.29;asian
ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0022.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0022.jpg;0.31;0.29;african
ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0007.jpg;0;0;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba0dfeb8-da71-47b2-832b-bc0d69b0a766.mp4.0007.jpg;0.29;0.23;asian
ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0028.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0028.jpg;0.19;0.2;asian
ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0011.jpg;0;0;0;0;-1;-5;-5;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0011.jpg;0.12;0.15;african
ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0007.jpg;0;0;0;0;-1;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/ba007047-4f64-4b4a-bdd1-d70525edd524.mp4.0007.jpg;0.29;0.25;african
b9aaee6f-1863-4541-9c71-9385c1b9d76b.mp4.0026.jpg;0;0;0;0;0;0;0;2;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b9aaee6f-1863-4541-9c71-9385c1b9d76b.mp4.0026.jpg;0.29;0.28;asian
b9aaee6f-1863-4541-9c71-9385c1b9d76b.mp4.0007.jpg;0;0;0;0;0;0;0;2;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b9aaee6f-1863-4541-9c71-9385c1b9d76b.mp4.0007.jpg;0.27;0.26;african
b9aaee6f-1863-4541-9c71-9385c1b9d76b.mp4.0006.jpg;0;0;0;0;0;0;0;2;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b9aaee6f-1863-4541-9c71-9385c1b9d76b.mp4.0006.jpg;0.27;0.24;african
b9518c3e-dcf3-407a-8ef2-13a5d069f3ab.mp4.0031.jpg;1;0;0;0;-1;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b9518c3e-dcf3-407a-8ef2-13a5d069f3ab.mp4.0031.jpg;0.23;0.22;african
b9518c3e-dcf3-407a-8ef2-13a5d069f3ab.mp4.0018.jpg;1;0;0;0;-1;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b9518c3e-dcf3-407a-8ef2-13a5d069f3ab.mp4.0018.jpg;0.19;0.21;african
b9518c3e-dcf3-407a-8ef2-13a5d069f3ab.mp4.0012.jpg;1;0;0;0;-1;0;0;0;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b9518c3e-dcf3-407a-8ef2-13a5d069f3ab.mp4.0012.jpg;0.21;0.22;asian
b80b78e0-3d18-4c0d-a6d9-0e1a4612a58c.mp4.0015.jpg;1;0;0;0;4;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b80b78e0-3d18-4c0d-a6d9-0e1a4612a58c.mp4.0015.jpg;0.24;0.29;asian
b80b78e0-3d18-4c0d-a6d9-0e1a4612a58c.mp4.0011.jpg;1;0;0;0;4;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b80b78e0-3d18-4c0d-a6d9-0e1a4612a58c.mp4.0011.jpg;0.29;0.3;european
b80b78e0-3d18-4c0d-a6d9-0e1a4612a58c.mp4.0010.jpg;1;0;0;0;4;-6;-6;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b80b78e0-3d18-4c0d-a6d9-0e1a4612a58c.mp4.0010.jpg;0.3;0.3;asian
b796d2ef-ca40-447a-bc3c-73e67108bc3a.quicktime.0019.jpg;0;1;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b796d2ef-ca40-447a-bc3c-73e67108bc3a.quicktime.0019.jpg;0.22;0.18;african
b796d2ef-ca40-447a-bc3c-73e67108bc3a.quicktime.0009.jpg;0;1;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b796d2ef-ca40-447a-bc3c-73e67108bc3a.quicktime.0009.jpg;0.27;0.29;african
b796d2ef-ca40-447a-bc3c-73e67108bc3a.quicktime.0001.jpg;0;1;0;0;0;0;0;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b796d2ef-ca40-447a-bc3c-73e67108bc3a.quicktime.0001.jpg;0.23;0.26;african
b7016786-e5f1-4c19-bfa1-73204f56f27a.mp4.0029.jpg;0;1;0;0;-1;0;0;0;1;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b7016786-e5f1-4c19-bfa1-73204f56f27a.mp4.0029.jpg;0.22;0.22;asian
b7016786-e5f1-4c19-bfa1-73204f56f27a.mp4.0028.jpg;0;1;0;0;-1;0;0;0;1;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b7016786-e5f1-4c19-bfa1-73204f56f27a.mp4.0028.jpg;0.21;0.22;asian
b7016786-e5f1-4c19-bfa1-73204f56f27a.mp4.0013.jpg;0;1;0;0;-1;0;0;0;1;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b7016786-e5f1-4c19-bfa1-73204f56f27a.mp4.0013.jpg;0.21;0.22;african
b6fc8c09-417e-4ea3-99cc-f29f01603ab3.mp4.0031.jpg;0;1;0;0;2;0;0;2;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b6fc8c09-417e-4ea3-99cc-f29f01603ab3.mp4.0031.jpg;0.29;0.27;african
b6fc8c09-417e-4ea3-99cc-f29f01603ab3.mp4.0022.jpg;0;1;0;0;2;0;0;2;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b6fc8c09-417e-4ea3-99cc-f29f01603ab3.mp4.0022.jpg;0.31;0.27;african
b6fc8c09-417e-4ea3-99cc-f29f01603ab3.mp4.0005.jpg;0;1;0;0;0;0;0;2;0;0;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b6fc8c09-417e-4ea3-99cc-f29f01603ab3.mp4.0005.jpg;0.31;0.28;african
b5eddc98-76fe-40f1-9abb-8385d47e980d.mp4.0032.jpg;0;0;0;0;2;1;1;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b5eddc98-76fe-40f1-9abb-8385d47e980d.mp4.0032.jpg;0.34;0.3;asian
b5eddc98-76fe-40f1-9abb-8385d47e980d.mp4.0028.jpg;0;1;0;0;2;-6;1;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b5eddc98-76fe-40f1-9abb-8385d47e980d.mp4.0028.jpg;0.35;0.36;european
b5eddc98-76fe-40f1-9abb-8385d47e980d.mp4.0023.jpg;0;1;0;0;2;1;1;0;0;6;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b5eddc98-76fe-40f1-9abb-8385d47e980d.mp4.0023.jpg;0.34;0.3;european
b56547e2-1d1b-4c3c-be2c-60e16f0af7ce.mp4.0038.jpg;2;1;0;0;2;-2;-2;2;0;5;1;1;/mnt/data/frames/new_test/frames_1_origami_extended_0003_112/med_mask_1/b56547e2-1d1b-4c3c-be2c-60e16f0af7ce.mp4.0038.jpg;0.11;0.12;african
